T1,T2,T3,T4,T5,T6,T7,T8
0.009385550496421107,0.00010229986356747773,0.00010230096373508744,0.00010229685064348534,0.723588793991592,0.2665141628609091,0.00010230671961505642,0.00010228825351672677
0.00010631310211672488,0.0001063258765529448,0.00010632073809027783,0.00010631062196317228,0.8015548612352275,0.19780724493575633,0.00010631275852833782,0.00010631073176466829
0.00011241619287290431,0.00011240740974217428,0.00011242322817808724,0.05676795840594029,0.6544467750715838,0.27665671037909323,0.00011241755930320369,0.011678891753286295
0.0001116742861342469,0.00011165766415418017,0.00011165886540871544,0.00011166062203545103,0.6849635150156173,0.25966818699124383,0.054809977784238156,0.00011166877116820063
0.021672148264118257,0.024447662995285443,0.019456203989660418,0.0001092253203833443,0.5897543329678699,0.310335606319263,0.03411559115484922,0.00010922898857054115
0.00011016386079796836,0.054987030671969056,0.004528905762878047,0.00011017069916644654,0.4723471455144466,0.4676962349680108,0.00011017715144208218,0.00011017137128893176
0.00010619294897470707,0.047380488531547596,0.006116329545596103,0.05211457772383777,0.12141604672425127,0.7726539331552351,0.00010622410764889207,0.0001062072629085971
0.0001056385246038562,0.00010564054949020728,0.01450019455970606,0.0928339887021568,0.23911506056235568,0.653128188936308,0.00010564628198746926,0.00010564188339199516
0.0001058665040407486,0.0001058580704162954,0.00010586166279464158,0.00010585443740273669,0.7641899228160247,0.2351749178478382,0.00010585780167452968,0.0001058608598079888
0.00011018979592088074,0.05309931084487843,0.00011019980895338448,0.00011017822129539213,0.7054955783052945,0.22941471973491637,0.006656662120125701,0.0050031611686152866
0.00010431765357028045,0.00010432158645835156,0.00010431169182104328,0.00010431571594109483,0.6184606862740832,0.3676063184174912,0.013411416562257956,0.00010431209837677892
0.012791420329851118,0.00010874393888036889,0.00010873866327883343,0.1861155638825961,0.1133456484549041,0.6149383203292417,0.07248280555455527,0.00010875884669254465
0.00011130410877643055,0.00011128913433235353,0.00011128391501676232,0.00011128997531345669,0.2505400463812939,0.7140910131969994,0.03481249184573733,0.00011128144253037322
0.00010433103869679557,0.00010433424820587004,0.00010433029567982543,0.09736414940244852,0.18645192212707207,0.7089045570360234,0.006862053783818573,0.00010432206805497222
0.007569454377090464,0.00011688633219176424,0.00011688134000381908,0.18672613663928683,0.05927532207078472,0.7459615577167247,0.00011688582490632818,0.00011687569901142358
0.00011290517756776249,0.00011292582610544697,0.00011290758752531588,0.00011290643390480281,0.32610538345679263,0.6732171493863149,0.000112911460378146,0.0001129106714108722
0.0001079225006777979,0.18400504506557466,0.00010793262027004065,0.17288917342195534,0.1571454141056359,0.48552867798754623,0.00010792159901246418,0.00010791269932751187
0.005929902632926065,0.00010541920291804382,0.00010542825555942285,0.5632174079364467,0.0001054137022437371,0.4303256041147884,0.00010541999488198631,0.00010540416023564482
0.013583581617160896,0.0001140882415868495,0.04143423869335497,0.4328848183545961,0.00011407219074170652,0.5116410425226023,0.0001140738808126459,0.00011408449914453187
0.00011461749783410905,0.110803601356122,0.21988051539706077,0.25989201966977693,0.00011459872706871389,0.34730571976604674,0.06177432256776323,0.0001146050183275636
0.00011981241091456465,0.00011982143676612048,0.08326923382119067,0.33545078284238755,0.00011982852219123942,0.5142169886245116,0.05321128283142529,0.013492249510612982
0.00010564272925241132,0.00010564496256119345,0.00010564091779175992,0.21546258389433612,0.0001056539942310196,0.3817317693606165,0.4022774114202946,0.00010565272091637359
0.011714394134502398,0.028214522617369946,0.00010324617578135919,0.07939406262167802,0.00010324626568757919,0.7720210746400525,0.10834619342556702,0.0001032601193609804
0.00010850163914350999,0.00010851907570949394,0.0001085144662067057,0.08354891096145395,0.080943498852438,0.8316870228263353,0.00010851536329659031,0.003386516815416413
0.010804177474821456,0.00010898446594047004,0.023706029649774984,0.031712947281727896,0.005101749607352657,0.9283481567715242,0.00010898376035490241,0.00010897098850359362
0.00010314807891366617,0.00010314913807630162,0.00010314449545152746,0.05248218246817119,0.04771712195674986,0.8500913232339583,0.03822740768937961,0.011172522939299533
0.00010994380260001489,0.00010994811782833778,0.00970149145012856,0.00010994366534251174,0.1155431765413963,0.7509007696253461,0.12341477933963788,0.00010994745772011928
0.00012214756623218602,0.007762176833705521,0.04423007966182806,0.0001221669171007708,0.15704108715932502,0.6239624357749877,0.1666377479741005,0.0001221581127203874
0.00010518938758339253,0.01921590443390189,0.5581533626513174,0.029254250945716095,0.00010520010328652279,0.33390258156832,0.059158317652343646,0.00010519325753107162
0.00010045377503869737,0.00010044524152547596,0.4020612153131161,0.01798245819382581,0.00010046151659378714,0.4811021603622304,0.0949343042894968,0.0036185013081730076
0.0001148618299111469,0.00011486954814443077,0.04759986745193626,0.0001148679816603432,0.10901983609642305,0.7835073677454751,0.059413453486793666,0.00011487585965582266
0.00011241942719607681,0.030205615610565065,0.0001124280849539378,0.00011240671058914583,0.31255891617303694,0.6439207777124109,0.00011240947377672415,0.012865026807471163
0.04013109606566473,0.037315703050195444,0.00011714582657643683,0.00011714757769216785,0.27530485911910707,0.6381949260279318,0.00011716252272450287,0.008701959810107776
0.019074932794047844,0.00011607349181674998,0.00011605277916347924,0.0001160606997236075,0.24955934492601706,0.7193401612000967,0.00011607176157665999,0.01156130234755787
0.0001063056071115724,0.07419124624672262,0.010253718321420436,0.00010631528707718014,0.12291204045301402,0.7898675732117975,0.00010631520482640928,0.00245648566803037
0.004545592536922825,0.00010712483286752642,0.0017656555349864999,0.00010712176177296569,0.06252608879835857,0.926581032593322,0.004260276270455031,0.00010710767131454897
0.0002050474242877546,0.0057365293207484866,0.00020503318070035962,0.00020505361395448135,0.07038850309117792,0.9228497540407363,0.0002050387013137098,0.0002050406270809665
0.00011356734622902659,0.621086606451328,0.0001135688310216647,0.00011356119053316687,0.17103945395191844,0.05488517658451338,0.03064810307445083,0.12199996257000557
0.02005395003934992,0.6058205484446119,0.09991243242723537,0.01668271554129945,0.13116488191805586,0.06206239955181182,0.060024360225265715,0.004278711852370144
0.007287295975053642,0.3300341959758308,0.08293623634303637,0.00011854461588887277,0.387031767185418,0.1685322568553523,0.008881514512076952,0.01517818853734308
0.00013165156546047452,0.6541851812549389,0.07048839881208165,0.030702631928348028,0.032887657907952804,0.0537405178139494,0.12515458282913422,0.03270937788813449
0.10237675969168658,0.6523287776292365,0.00013781669705788724,0.00013779753858673245,0.09892948783036427,0.09687760687743216,0.04907392034848939,0.00013783338714646784
0.25128926772609783,0.3857968823575847,0.00012367409483432973,0.00012366634657951515,0.16242227107344512,0.19999689961641937,0.00012367247445405907,0.00012366631058506706
0.025588296493183567,0.7396360601005414,0.03445580485816433,0.00011660068728467717,0.05396276054329218,0.061626889846460864,0.07543099983149108,0.009182587639581916
0.00011743508977245381,0.4897909777954299,0.00011742839577917692,0.00011742506431166024,0.0665917807362351,0.14913503338886105,0.2940125069908321,0.00011741253877858435
0.14172417343725505,0.2975146876344303,0.0001268065352389867,0.00012680387195440515,0.07388618145836376,0.24133262971524586,0.2451619153679846,0.00012680197952694557
0.041372793057738846,0.6374194253993734,0.18553332134805034,0.00013357966252250256,0.004362557032039911,0.05315958156561022,0.07788518081866845,0.00013356111599623936
0.00010912369381701211,0.1535372269634053,0.00010910898060398853,0.00010909824137692969,0.10416762543996078,0.1391374761516515,0.6027212297013135,0.00010911082787100656
0.00010984311783749532,0.00010982053870710703,0.00010982465075102495,0.02135622553196372,0.00010982880945875639,0.18234965434241174,0.7957449813093284,0.00010982169954186668
0.00010782067290794792,0.00010781451616598636,0.00010780375439750139,0.010008009190282977,0.08777360445504435,0.15534877941051806,0.7464383367427896,0.00010783125789372312
